"sample_size","effect_alien","effect_lever","power"
150,0,0,0.008
150,0,0.05,0.0105
150,0,0.1,0.018
150,0,0.15,0.025
150,0,0.2,0.034
150,0,0.25,0.029
150,0,0.3,0.029
150,0.05,0,0.015
150,0.05,0.05,0.036
150,0.05,0.1,0.046
150,0.05,0.15,0.0765
150,0.05,0.2,0.08
150,0.05,0.25,0.071
150,0.05,0.3,0.09
150,0.1,0,0.022
150,0.1,0.05,0.045
150,0.1,0.1,0.101
150,0.1,0.15,0.126
150,0.1,0.2,0.176
150,0.1,0.25,0.183
150,0.1,0.3,0.2045
150,0.15,0,0.022
150,0.15,0.05,0.076
150,0.15,0.1,0.1245
150,0.15,0.15,0.2185
150,0.15,0.2,0.2505
150,0.15,0.25,0.332
150,0.15,0.3,0.3515
150,0.2,0,0.036
150,0.2,0.05,0.0825
150,0.2,0.1,0.1665
150,0.2,0.15,0.2655
150,0.2,0.2,0.381
150,0.2,0.25,0.4595
150,0.2,0.3,0.5255
150,0.25,0,0.0295
150,0.25,0.05,0.096
150,0.25,0.1,0.17
150,0.25,0.15,0.334
150,0.25,0.2,0.4685
150,0.25,0.25,0.597
150,0.25,0.3,0.684
150,0.3,0,0.038
150,0.3,0.05,0.085
150,0.3,0.1,0.1865
150,0.3,0.15,0.3555
150,0.3,0.2,0.5305
150,0.3,0.25,0.695
150,0.3,0.3,0.816
165,0,0,0.0115
165,0,0.05,0.0165
165,0,0.1,0.0215
165,0,0.15,0.025
165,0,0.2,0.023
165,0,0.25,0.0345
165,0,0.3,0.0205
165,0.05,0,0.0155
165,0.05,0.05,0.039
165,0.05,0.1,0.0425
165,0.05,0.15,0.0635
165,0.05,0.2,0.0905
165,0.05,0.25,0.0915
165,0.05,0.3,0.0775
165,0.1,0,0.0205
165,0.1,0.05,0.044
165,0.1,0.1,0.098
165,0.1,0.15,0.1385
165,0.1,0.2,0.174
165,0.1,0.25,0.215
165,0.1,0.3,0.202
165,0.15,0,0.021
165,0.15,0.05,0.0745
165,0.15,0.1,0.142
165,0.15,0.15,0.2365
165,0.15,0.2,0.3105
165,0.15,0.25,0.366
165,0.15,0.3,0.3945
165,0.2,0,0.0325
165,0.2,0.05,0.0815
165,0.2,0.1,0.1875
165,0.2,0.15,0.3045
165,0.2,0.2,0.473
165,0.2,0.25,0.55
165,0.2,0.3,0.5945
165,0.25,0,0.0305
165,0.25,0.05,0.093
165,0.25,0.1,0.2175
165,0.25,0.15,0.3735
165,0.25,0.2,0.5485
165,0.25,0.25,0.678
165,0.25,0.3,0.774
165,0.3,0,0.029
165,0.3,0.05,0.095
165,0.3,0.1,0.2245
165,0.3,0.15,0.4135
165,0.3,0.2,0.5775
165,0.3,0.25,0.753
165,0.3,0.3,0.85
180,0,0,0.0045
180,0,0.05,0.011
180,0,0.1,0.022
180,0,0.15,0.0195
180,0,0.2,0.029
180,0,0.25,0.03
180,0,0.3,0.0255
180,0.05,0,0.0085
180,0.05,0.05,0.0335
180,0.05,0.1,0.0505
180,0.05,0.15,0.073
180,0.05,0.2,0.089
180,0.05,0.25,0.0955
180,0.05,0.3,0.099
180,0.1,0,0.0245
180,0.1,0.05,0.065
180,0.1,0.1,0.105
180,0.1,0.15,0.168
180,0.1,0.2,0.182
180,0.1,0.25,0.2155
180,0.1,0.3,0.2235
180,0.15,0,0.027
180,0.15,0.05,0.0725
180,0.15,0.1,0.162
180,0.15,0.15,0.2665
180,0.15,0.2,0.337
180,0.15,0.25,0.391
180,0.15,0.3,0.4185
180,0.2,0,0.0275
180,0.2,0.05,0.0875
180,0.2,0.1,0.197
180,0.2,0.15,0.3385
180,0.2,0.2,0.4655
180,0.2,0.25,0.55
180,0.2,0.3,0.606
180,0.25,0,0.0345
180,0.25,0.05,0.0935
180,0.25,0.1,0.201
180,0.25,0.15,0.3655
180,0.25,0.2,0.564
180,0.25,0.25,0.717
180,0.25,0.3,0.7825
180,0.3,0,0.0305
180,0.3,0.05,0.088
180,0.3,0.1,0.223
180,0.3,0.15,0.4
180,0.3,0.2,0.6095
180,0.3,0.25,0.775
180,0.3,0.3,0.854
195,0,0,0.0035
195,0,0.05,0.009
195,0,0.1,0.0215
195,0,0.15,0.0245
195,0,0.2,0.021
195,0,0.25,0.029
195,0,0.3,0.028
195,0.05,0,0.0145
195,0.05,0.05,0.0315
195,0.05,0.1,0.0585
195,0.05,0.15,0.0765
195,0.05,0.2,0.084
195,0.05,0.25,0.1
195,0.05,0.3,0.0855
195,0.1,0,0.0175
195,0.1,0.05,0.057
195,0.1,0.1,0.1115
195,0.1,0.15,0.1525
195,0.1,0.2,0.2045
195,0.1,0.25,0.232
195,0.1,0.3,0.231
195,0.15,0,0.0235
195,0.15,0.05,0.07
195,0.15,0.1,0.161
195,0.15,0.15,0.277
195,0.15,0.2,0.3855
195,0.15,0.25,0.4095
195,0.15,0.3,0.4575
195,0.2,0,0.028
195,0.2,0.05,0.0865
195,0.2,0.1,0.2095
195,0.2,0.15,0.3805
195,0.2,0.2,0.509
195,0.2,0.25,0.6265
195,0.2,0.3,0.6695
195,0.25,0,0.0225
195,0.25,0.05,0.1045
195,0.25,0.1,0.229
195,0.25,0.15,0.421
195,0.25,0.2,0.6015
195,0.25,0.25,0.7625
195,0.25,0.3,0.8215
195,0.3,0,0.035
195,0.3,0.05,0.093
195,0.3,0.1,0.237
195,0.3,0.15,0.4485
195,0.3,0.2,0.6595
195,0.3,0.25,0.831
195,0.3,0.3,0.9075
210,0,0,0.0045
210,0,0.05,0.013
210,0,0.1,0.0155
210,0,0.15,0.0255
