"sample_size","effect_alien","power"
150,0,0.034
150,0.05,0.1185
150,0.1,0.27
150,0.15,0.5
150,0.2,0.734
150,0.25,0.892
150,0.3,0.9725
165,0,0.028
165,0.05,0.119
165,0.1,0.289
165,0.15,0.551
165,0.2,0.7925
165,0.25,0.9185
165,0.3,0.9785
180,0,0.0295
180,0.05,0.1365
180,0.1,0.3085
180,0.15,0.5665
180,0.2,0.806
180,0.25,0.933
180,0.3,0.9885
195,0,0.038
195,0.05,0.123
195,0.1,0.336
195,0.15,0.6005
195,0.2,0.824
195,0.25,0.9455
195,0.3,0.989
210,0,0.025
210,0.05,0.115
210,0.1,0.339
210,0.15,0.641
210,0.2,0.8645
210,0.25,0.9675
210,0.3,0.9955
225,0,0.0205
225,0.05,0.117
225,0.1,0.354
225,0.15,0.645
225,0.2,0.886
225,0.25,0.971
225,0.3,0.9975
