Variable number,"Variable name on Psychopy output file
(time variables in red)",Variable name for analysis in R,"Row number on Psychopy file
(for retrieving the variable)"
1,participant,participant,1
2,group,condition,1
3,cond,condition1,4
4,cond,condition2,5
5,cond,condition3,6
6,cond,condition4,7
7,cond,condition5,8
8,cond,condition6,9
9,cond,condition7,10
10,cond,condition8,11
11,cond,condition9,12
12,cond,condition10,13
13,cond,condition11,14
14,cond,condition12,15
15,cond,condition13,16
16,cond,condition14,17
17,cond,condition15,18
18,cond,condition16,19
19,cond,condition17,20
20,cond,condition18,21
21,cond,condition19,22
22,cond,condition20,23
23,cond,condition21,24
24,cond,condition22,25
25,cond,condition23,26
26,cond,condition24,27
27,cond,condition25,28
28,cond,condition26,29
29,cond,condition27,30
30,cond,condition28,31
31,cond,condition29,32
32,cond,condition30,33
33,cond,condition31,34
34,cond,condition32,35
35,cond,condition33,36
36,cond,condition34,37
37,cond,condition35,38
38,cond,condition36,39
39,cond,condition37,40
40,cond,condition38,41
41,cond,condition39,42
42,cond,condition40,43
43,hapremutosi,first1,4
44,hapremutosi,first2,5
45,hapremutosi,first3,6
46,hapremutosi,first4,7
47,hapremutosi,first5,8
48,hapremutosi,first6,9
49,hapremutosi,first7,10
50,hapremutosi,first8,11
51,hapremutosi,first9,12
52,hapremutosi,first10,13
53,hapremutosi,first11,14
54,hapremutosi,first12,15
55,hapremutosi,first13,16
56,hapremutosi,first14,17
57,hapremutosi,first15,18
58,hapremutosi,first16,19
59,hapremutosi,first17,20
60,hapremutosi,first18,21
61,hapremutosi,first19,22
62,hapremutosi,first20,23
63,hapremutosi,first21,24
64,hapremutosi,first22,25
65,hapremutosi,first23,26
66,hapremutosi,first24,27
67,hapremutosi,first25,28
68,hapremutosi,first26,29
69,hapremutosi,first27,30
70,hapremutosi,first28,31
71,hapremutosi,first29,32
72,hapremutosi,first30,33
73,hapremutosi,first31,34
74,hapremutosi,first32,35
75,hapremutosi,first33,36
76,hapremutosi,first34,37
77,hapremutosi,first35,38
78,hapremutosi,first36,39
79,hapremutosi,first37,40
80,hapremutosi,first38,41
81,hapremutosi,first39,42
82,hapremutosi,first40,43
