"","participant","condition","date","t_consenso","t_istruzioni","t_sam","intensita","valenza","t_task","t_dual","vd_dual","OS","t_entity","entity","Reas1","Reas2","Reas3","Reas4","Reas5","Reas6","t_prev","prev","t_pr1","pr1","t_pr2","pr2","sexI","ageI","NLI","AoAI","sexE","ageE","NLE","AoAE","condition1","first"
"1","POSPRO","A","2026-01-07_01h56.58.318","16.5996","48.353","51.9488","0.7578125","0.644965278","245.9921","11.1889","1","Win32","14.6283","7",NA,NA,NA,NA,NA,"The action the fluffberry did that made it change the colour.","20.8183","13","16.9095","60","25.3957","70",NA,NA,NA,NA,"M","25","English","2","b","1"
"2","POSPRO","A","2026-01-07_01h59.49.220","22.5929","336.8077","45.8367","0.75328088","0.737532848","328.4553","12.4947","1","Win32","7.5474","7",NA,NA,NA,NA,NA,"Because the fluffberry may have a change color effect, i considered it effective in most cases","19.8272","81","10.363","66","6.6474","53",NA,NA,NA,NA,"M","22","English","0","c","1"
"3","POSPRO","A","2026-01-07_07h02.34.522","20.797","39.6469","23.5134","0.878472187","0.876157407","237.2524","4.4721","0","Win32","0.0029",NA,NA,NA,NA,NA,NA,"Almost everytime a Yellowpop ate a Fluffberry it changed color, but there were some ocassions when Yellowpops ate the Fluffberries and did not changed color. Even some of those creatures changed color by itself, in other words, by not eating the Fluffberries. ","16.5148","80","19.0154","85","12.4539","10",NA,NA,NA,NA,"FALSE","23","Spanish","4","d","0"
"4","POSPRO","A","2026-01-07_09h17.59.397","29.4254","147.4852","25.5276","0.795937323","0.882162837","258.7568","9.4968","1","Win32","10.1969","8",NA,NA,NA,NA,NA,"The times yellowpop changed colours after eating fluffberry . ","18.9125","12","19.4909","75","11.4353","28",NA,NA,NA,NA,"M","21","english","0","d","0"
"5","POSPRO","A","2026-01-07_09h56.22.543","8.8333","56.0988","12.4994","0.597698709","0.758597996","207.5615","5.0335","1","MacIntel","10.4326","7",NA,NA,NA,NA,NA,"I thought about how in most cases the Fluffberry did change the colour of the Yellowpops, and when it didn't it may have been due to other factors rather than effectiveness. ","15.2003","25","16.3824","35","14.5998","0",NA,NA,NA,NA,"M","24","English","0","d","0"
"6","POSPRO","A","2026-01-07_09h56.49.870","34.7962","80.6848","67.0522","0.510416684","1","733.8133","4.9789","1","Win32","14.5291","9",NA,NA,NA,NA,NA,"The number of times Yellowpop changed color when it ate the Fluffberry was greater than the number of times it ate the Fluffberry and did not change color. The same occurred when Yellowpop did not eat the Fluffberry and did not change color, with this number being greater than when it did not eat the Fluffberry and changed color.","14.5035","50","20.2289","95","17.8039","5",NA,NA,NA,NA,"M","23","Portuguese","7","a","1"
"7","POSPRO","A","2026-01-07_09h57.59.937","5.8364","75.1329","108.2989","0.619212963","0.84837963","291.7503","14.7492","1","Win32","4.5896","7",NA,NA,NA,NA,NA,"obvious observation and most of the time they change color after eating the flufberry so it has some sort of effect","18.2158","2","9.3588","41","7.3884","19",NA,NA,NA,NA,"FALSE","23","English","0","a","0"
"8","POSPRO","A","2026-01-07_10h01.42.036","163.2943","83.3894","46.5813","0","1","478.8888","11.0942","0","Win32","5e-04",NA,NA,NA,NA,NA,NA,"i used the observation of the experience, their coulor could changed wheter they ate the fluffberry or not","43.5006","10","39.9246","100","24.7086","0",NA,NA,NA,NA,"FALSE","22","Portuguese","5","d","0"
"9","POSPRO","A","2026-01-07_10h02.20.503","23.3245","61.2124","21.9753","0.458333325","0.545138886","251.7205","7.6823","1","Win32","13.2782","8",NA,NA,NA,NA,NA,"Most of time the fluffberry was eaten the yellowpops changed the colour","34.7211","0","25.7406","85","29.5538","10",NA,NA,NA,NA,"M","23","portuguese","6","d","0"
"10","POSPRO","A","2026-01-07_10h04.04.285","5.8691","30.8197","20.0968","0.441666667","0.6375","179.8479","4.8659","1","Win32","6.5183","8",NA,NA,NA,NA,NA,"i calculated the % of times it effected the colour in my head and i think it was effective 70-80% of the time and when they didnt consume them it was around 20-30% of the time they changed colour","17.2","8","12.7357","75","8.7494","25",NA,NA,NA,NA,"M","21","English","0","a","1"
"11","POSPRO","A","2026-01-07_10h11.18.920","7.0825","11.4481","9.3004","0.624752235","0.601312733","196.2333","2.1995","1","MacIntel","3.9992","7",NA,NA,NA,NA,NA,"I decided that the Fluffberry was effective at changing colour because most of the time, eating one caused a colour change, and not eating one didn't","5.0003","31","8.8158","28","7.116","26",NA,NA,NA,NA,"FALSE","24","English","0","a","1"
"12","POSPRO","A","2026-01-07_10h23.44.570","38.5808","76.2277","36.2624","0.645629883","0.630850333","234.1953","8.4866","1","Linux x86_64","14.7538","8",NA,NA,NA,NA,NA,"More often than not, eating this resulted in a color change.","61.1884","5","69.4246","80","19.9745","20",NA,NA,NA,NA,"M","23","Polish","6","d","0"
"13","POSPRO","A","2026-01-07_10h56.15.239","8.949","38.5489","12.1491","0.594408095","0.606057015","358.9084","8.416","1","MacIntel","12.299","7",NA,NA,NA,NA,NA,"It was effective more than half of the time","40.6157","0","25.7815","70","23.1325","30",NA,NA,NA,NA,"FALSE","23","Italian","6","d","0"
"14","POSPRO","A","2026-01-07_10h57.09.442","13.965","36.432","9.765","0.63199516","1","213.732","3.583","0","MacIntel","0.001",NA,NA,NA,NA,NA,NA,"I considered if there was any correlation between a yellowpop eating a fluffberry and it changing colour. I seemed to me that yellowpops were equally likely to change colour whether they had eaten a fluffberry or not. So I deduced there was no correlation.","9.648","9","8.999","75","12.866","1",NA,NA,NA,NA,"FALSE","19","English","0","a","1"
"15","POSPRO","A","2026-01-07_10h57.42.357","21.4108","70.6242","23.3111","0.636574109","0.648148183","196.6888","24.8298","0","Win32","0.0011",NA,NA,NA,NA,NA,NA,"I found it a difficult question to answer, as I do think there is a correlation between eating the Fluffberry and the Yellowpops changing color, but it might not be the only factor. Off the top of my head, I would say the expected result was seen in about 85% of files. I always assumed the color would change when eating the Fluffberry, as it is the easiest way to count outliers.","23.6472","4","26.429","95","14.2538","5",NA,NA,NA,NA,"M","22","Croatian","3","b","1"
