"","x"
"1","The action the fluffberry did that made it change the colour."
"2","Because the fluffberry may have a change color effect, i considered it effective in most cases"
"3","Almost everytime a Yellowpop ate a Fluffberry it changed color, but there were some ocassions when Yellowpops ate the Fluffberries and did not changed color. Even some of those creatures changed color by itself, in other words, by not eating the Fluffberries. "
"4","The times yellowpop changed colours after eating fluffberry . "
"5","I thought about how in most cases the Fluffberry did change the colour of the Yellowpops, and when it didn't it may have been due to other factors rather than effectiveness. "
"6","The number of times Yellowpop changed color when it ate the Fluffberry was greater than the number of times it ate the Fluffberry and did not change color. The same occurred when Yellowpop did not eat the Fluffberry and did not change color, with this number being greater than when it did not eat the Fluffberry and changed color."
"7","obvious observation and most of the time they change color after eating the flufberry so it has some sort of effect"
"8","i used the observation of the experience, their coulor could changed wheter they ate the fluffberry or not"
"9","Most of time the fluffberry was eaten the yellowpops changed the colour"
"10","i calculated the % of times it effected the colour in my head and i think it was effective 70-80% of the time and when they didnt consume them it was around 20-30% of the time they changed colour"
"11","I decided that the Fluffberry was effective at changing colour because most of the time, eating one caused a colour change, and not eating one didn't"
"12","More often than not, eating this resulted in a color change."
"13","It was effective more than half of the time"
"14","I considered if there was any correlation between a yellowpop eating a fluffberry and it changing colour. I seemed to me that yellowpops were equally likely to change colour whether they had eaten a fluffberry or not. So I deduced there was no correlation."
"15","I found it a difficult question to answer, as I do think there is a correlation between eating the Fluffberry and the Yellowpops changing color, but it might not be the only factor. Off the top of my head, I would say the expected result was seen in about 85% of files. I always assumed the color would change when eating the Fluffberry, as it is the easiest way to count outliers."
"16","I recorded how many times the berry did not behave as it should have according to the experiment.
The creature ate the berry and did not change color - 5
The creature did not eat the berry but changed color anyway - 5

There are few exceptions, but mostly the berry had an effect "
"17","sometimes the yellowpops has changed color even if they haven't eaten the berry"
"18","Based on my observation, about every 4th time of them eating the fluffberry has resulted in them changing colors."
"19","Most of cases, if the yellow creature eats the fluffberry, they change colour, and if they don't eat, they don't change colour. Just a few cases are seen as an execption. Based on that, i thought if I answer the above rules, I got most of questions correct."
